id,screenName,type
27598017.0,2012gregg,Fake News
14210021.0,AboveTopSecret,Fake News
3956151875.0,AHTribune,Fake News
322027737.0,AmRenaissance,Fake News
183036873.0,amtvmedia,Fake News
2848616367.0,AnonymousNewsHQ,Fake News
633485518.0,AntiMedia,Fake News
15503210.0,Antiwarcom,Fake News
18118505.0,barenakedislam,Fake News
73572581.0,beforeitsnews,Fake News
237888723.0,BIZPACReview,Fake News
65801609.0,blkagendareport,Fake News
60698597.0,Consortiumnews,Fake News
407579699.0,corbettreport,Fake News
24343809.0,Countercurrents,Fake News
279848159.0,Counter_info,Fake News
1888496474.0,DailyBuzzLive,Fake News
15439100.0,darkpolitricks,Fake News
2344061090.0,DA_Stockman,Fake News
3347340383.0,Delphi2015,Fake News
15392486.0,DiscloseTV,Fake News
38155971.0,engpravda,Fake News
41598656.0,ETMinistries,Fake News
3121593653.0,EUTimesNET,Fake News
729720580279173e3,eutopia_buzz,Fake News
2289031152.0,EyeOpeningInfo,Fake News
52869924.0,FilmsForAction,Fake News
40200634.0,ForPolJournal,Fake News
861434924.0,Fort_Russ_News,Fake News
628345598.0,FreedomOutpost,Fake News
743380057.0,GalacticConnect,Fake News
148324279.0,GangsterGovt,Fake News
84324670.0,GatesofVienna,Fake News
849785408.0,GeoengWatch,Fake News
756932720094245e3,geopolmonitor,Fake News
744912907515855e3,GUCCIFER_2,Fake News
15843059.0,HealthRanger,Fake News
477864155.0,HenryMakow,Fake News
14505245.0,infowars,Fake News
3290907035.0,IntersectionEN,Fake News
25778467.0,Intrepid_Report,Fake News
112902058.0,InvestWatchBlog,Fake News
66649220.0,InvResDynamics,Fake News
374048289.0,JoinGaia,Fake News
166284293.0,JournalNEO,Fake News
181168139.0,KingWorldNews,Fake News
559802746.0,LibertyBlitz,Fake News
95994080.0,Lukewearechange,Fake News
110445334.0,megynkelly,Fake News
414962189.0,MintPressNews,Fake News
23047519.0,MoonofA,Fake News
297688038.0,NatCounterPunch,Fake News
151155898.0,nsnbc,Fake News
3171668783.0,OffGuardian0,Fake News
16522257.0,opednews,Fake News
120569169.0,orientalreview,Fake News
2215592053.0,PaulCraigRobert,Fake News
34209920.0,PravdaRu,Fake News
375932471.0,PrepperWebsite,Fake News
192547775.0,PressTV,Fake News
4081106480.0,realDailyWire,Fake News
4183248796.0,realDennisLynch,Fake News
3957294317.0,RealNewsTarget,Fake News
3907583365.0,realtruthkings,Fake News
53297881.0,redflagnews,Fake News
731321902086656e3,regated,Fake News
16218068.0,rinf_community,Fake News
1877901985.0,RisingPatriot,Fake News
1043097751.0,RonPaulInstitut,Fake News
64643056.0,RT_com,Fake News
934399189.0,Ruptly,Fake News
706476526737486e3,RusNewspapers,Fake News
106393496.0,russiabeyond,Fake News
574367939.0,SanaAjel,Fake News
112078593.0,SCGupdates,Fake News
454232867.0,SGTreport,Fake News
283047655.0,SilverDoctors,Fake News
872769931.0,SleuthJournal,Fake News
20930176.0,SOTTnet,Fake News
2369910918.0,southfronteng,Fake News
34262462.0,SputnikInt,Fake News
214091399.0,Strateg_Culture,Fake News
2446907407.0,SuperStation95,Fake News
2242566230.0,Survivopedia,Fake News
126503408.0,TessPennington,Fake News
1121890495.0,theAncientCode,Fake News
1857277280.0,TheBell_News,Fake News
799826336.0,thecommonseshow,Fake News
2353825572.0,TheEvent2014,Fake News
264325600.0,TheFederalist1,Fake News
474464413.0,TheIJR,Fake News
3092618807.0,thenewcoldwar,Fake News
3018960919.0,TheRebelTV,Fake News
398110728.0,therussophile,Fake News
1851981150.0,TnA1776,Fake News
129019194.0,TRUNEWS,Fake News
15950681.0,Truthdig,Fake News
707278892801765e3,TruthFeedNews,Fake News
19605981.0,truthout,Fake News
320834623.0,Tweet4EiC,Fake News
3673181656.0,Ufoholics,Fake News
18093097.0,unhealthytruth,Fake News
1931893196.0,UnzReview,Fake News
27522964.0,vdare,Fake News
73928096.0,vigilantfeed,Fake News
142226945.0,voltairenet,Fake News
475119104.0,WakingTimes,Fake News
245676411.0,WashingtonsBlog,Fake News
16589206.0,wikileaks,Fake News
184452449.0,wikispooks,Fake News
21032566.0,WorldTruthTV,Fake News
3085665323.0,WUWmag,Fake News
47387039.0,yvessmith,Fake News
18856867.0,zerohedge,Fake News
807095.0,nytimes,Verified News
3108351.0,WSJ,Verified News
2467791.0,washingtonpost,Verified News
742143.0,BBCWorld,Verified News
5988062.0,TheEconomist,Verified News
14677919.0,NewYorker,Verified News
51241574.0,AP,Verified News
1652541.0,Reuters,Verified News
34713362.0,business,Verified News
21114659.0,ForeignAffairs,Verified News
35773039.0,TheAtlantic,Verified News
9300262.0,politico,Verified News
5392522.0,NPR,Verified News
14293310.0,TIME,Verified News
14857525.0,csmonitor,Verified News
16664681.0,latimes,Verified News
15754281.0,USATODAY,Verified News
759251.0,CNN,Verified News
14173315.0,NBCNews,Verified News
15012486.0,CBSNews,Verified News
28785486.0,ABC,Verified News
19417492.0,NRO,Verified News
17546958.0,weeklystandard,Verified News
82689705.0,NewRepublic,Verified News
1947301.0,thenation,Verified News
33584794.0,googlenews,Verified News
2836421.0,MSNBC,Verified News
87818409.0,guardian,Verified News
7309052.0,YahooNews,Verified News
1367531.0,FoxNews,Verified News
14511951.0,HuffPost,Verified News
15164565.0,Slate,Verified News
